Title,Author,In a series?,ISBN
Wonder Woman: War Bringer,Leigh Bardugo,FALSE,978-0-141-38737-6
Revenge of the Sith,Matthew Stover,TRUE,978-0-09-941058-4
Red Queen,Victoria Aveyard,TRUE,978-1-4091-5072-5
The Silmarillion,JRR Tolkien,TRUE,978-0-00-752322-1
When Hitler Stole Pink Rabbit,Judith Kerr,FALSE,978-0-00-727477-2
East of the Sun; West of the Moon,,FALSE,NULL
The Hunger Games,Suzanne Collins,TRUE,978-1407-10908-4
City of Bones,Cassandra Clare,TRUE,978-1-4063-0762-7
Hitch-Hiker’s Guide to the Galaxy,Douglas Adams,TRUE,978-0-330-50811-7
Demons of the Ocean,Justin Somper,TRUE,0-689-87263-1
Blame,Simon Mayo,TRUE,978-0-522-56907-1
Spellslinger,Sebastien de Castell,TRUE,978-1-78576-132-4
The Wee Free Men,Terry Pratchett,TRUE,0-385-60533-1
The Knife of Never Letting Go,Patrick Ness,TRUE,978-1-4063-7916-7
The Lord of the Rings,JRR Tolkien,TRUE,978-0-261-10325-2
The Forgotten Legion,Ben Kane,TRUE,978-0-09-955-628-2
Scythe,Neal Shusterman,TRUE,978-1-4063-7924-2
Confronting the Classics,Mary Beard,FALSE,978-1-78125-049-5
Pompeii,Mary Beard,FALSE,978-1-84668-471-5
The Odyssey,Homer,FALSE,978-0-140-44911-2
The Aeneid,Virgil,FALSE,978-0-140-44932-7
The Batman Who Laughs,Scott Snyder,FALSE,978-1-77950-446-3
The Early History of Rome,Livy,FALSE,0-14-044809-8
The Twelve Caesars,Suetonius,FALSE,0-14-044072-0
